symbol	tx_id	tx_biotype	exon_id	exon_rank
1700022H16Rik	1700022H16Rik	bidirectional_promoter_lncRNA	NA	NA
1700022I11Rik	1700022I11Rik	protein_coding	NA	NA
1700022N22Rik	1700022N22Rik	antisense	NA	NA
1700023B13Rik	1700023B13Rik	TEC	NA	NA
1700023C21Rik	1700023C21Rik	lincRNA	NA	NA
1700023F02Rik	1700023F02Rik	lincRNA	NA	NA
1700023G09Rik	1700023G09Rik	lincRNA	NA	NA
1700023H06Rik	1700023H06Rik	processed_transcript	NA	NA
1700024B05Rik	1700024B05Rik	protein_coding	NA	NA
1700024B18Rik	1700024B18Rik	antisense	NA	NA
1700024G13Rik	1700024G13Rik	protein_coding	NA	NA
1700024I08Rik	1700024I08Rik	lincRNA	NA	NA
1700024J04Rik	1700024J04Rik	pseudogene	NA	NA
1700025A08Rik	1700025A08Rik	TEC	NA	NA
1700025B11Rik	1700025B11Rik	protein_coding	NA	NA
1700025C18Rik	1700025C18Rik	protein_coding	NA	NA
1700025D23Rik	1700025D23Rik	lincRNA	NA	NA
1700025F24Rik	1700025F24Rik	lincRNA	NA	NA
1700025G04Rik	1700025G04Rik	protein_coding	NA	NA
1700025H01Rik	1700025H01Rik	lincRNA	NA	NA
1700025J12Rik	1700025J12Rik	lincRNA	NA	NA
1700025K04Rik	1700025K04Rik	lincRNA	NA	NA
1700025K24Rik	1700025K24Rik	lincRNA	NA	NA
1700025L06Rik	1700025L06Rik	lincRNA	NA	NA
1700025M24Rik	1700025M24Rik	lincRNA	NA	NA
1700025N21Rik	1700025N21Rik	antisense	NA	NA
1700025N23Rik	1700025N23Rik	antisense	NA	NA
1700025O08Rik	1700025O08Rik	lincRNA	NA	NA
1700026D11Rik	1700026D11Rik	antisense	NA	NA
1700026F02Rik	1700026F02Rik	lincRNA	NA	NA
1700026J12Rik	1700026J12Rik	lincRNA	NA	NA
1700026J14Rik	1700026J14Rik	lincRNA	NA	NA
1700026N04Rik	1700026N04Rik	bidirectional_promoter_lncRNA	NA	NA
1700027A07Rik	1700027A07Rik	antisense	NA	NA
1700027A15Rik	1700027A15Rik	antisense	NA	NA
1700027F06Rik	1700027F06Rik	lincRNA	NA	NA
1700027F09Rik	1700027F09Rik	lincRNA	NA	NA
1700027H10Rik	1700027H10Rik	antisense	NA	NA
1700027I24Rik	1700027I24Rik	bidirectional_promoter_lncRNA	NA	NA
1700027J07Rik	1700027J07Rik	lincRNA	NA	NA
1700028B04Rik	1700028B04Rik	transcribed_processed_pseudogene	NA	NA
1700028D13Rik	1700028D13Rik	lincRNA	NA	NA
1700028E10Rik	1700028E10Rik	processed_transcript	NA	NA
1700028I16Rik	1700028I16Rik	lincRNA	NA	NA
1700028J19Rik	1700028J19Rik	protein_coding	NA	NA
1700028K03Rik	1700028K03Rik	protein_coding	NA	NA
1700028M03Rik	1700028M03Rik	lincRNA	NA	NA
1700028N14Rik	1700028N14Rik	processed_transcript	NA	NA
1700028P14Rik	1700028P14Rik	protein_coding	NA	NA
1700028P15Rik	1700028P15Rik	processed_transcript	NA	NA
1700029B22Rik	1700029B22Rik	antisense	NA	NA
1700029B24Rik	1700029B24Rik	TEC	NA	NA
1700029E06Rik	1700029E06Rik	lincRNA	NA	NA
1700029F12Rik	1700029F12Rik	protein_coding	NA	NA
1700029H14Rik	1700029H14Rik	protein_coding	NA	NA
1700029I15Rik	1700029I15Rik	protein_coding	NA	NA
1700029J03Rik	1700029J03Rik	lincRNA	NA	NA
1700029J07Rik	1700029J07Rik	protein_coding	NA	NA
1700029M03Rik	1700029M03Rik	lincRNA	NA	NA
1700029M20Rik	1700029M20Rik	lincRNA	NA	NA
1700029N11Rik	1700029N11Rik	lincRNA	NA	NA
1700029P11Rik	1700029P11Rik	protein_coding	NA	NA
1700030A11Rik	1700030A11Rik	antisense	NA	NA
1700030C10Rik	1700030C10Rik	processed_transcript	NA	NA
1700030C10Rik	1700030C10Rik	transcribed_unprocessed_pseudogene	NA	NA
1700030C12Rik	1700030C12Rik	processed_transcript	NA	NA
1700030C14Rik	1700030C14Rik	antisense	NA	NA
1700030E10Rik	1700030E10Rik	lincRNA	NA	NA
1700030F04Rik	1700030F04Rik	lincRNA	NA	NA
1700030I03Rik	1700030I03Rik	TEC	NA	NA
1700030J22Rik	1700030J22Rik	protein_coding	NA	NA
1700030K09Rik	1700030K09Rik	protein_coding	NA	NA
1700030L20Rik	1700030L20Rik	lincRNA	NA	NA
1700030L22Rik	1700030L22Rik	antisense	NA	NA
1700030M09Rik	1700030M09Rik	bidirectional_promoter_lncRNA	NA	NA
1700030N03Rik	1700030N03Rik	lincRNA	NA	NA
1700030N18Rik	1700030N18Rik	TEC	NA	NA
1700030O20Rik	1700030O20Rik	lincRNA	NA	NA
1700031A10Rik	1700031A10Rik	antisense	NA	NA
1700031F05Rik	1700031F05Rik	protein_coding	NA	NA
1700031F10Rik	1700031F10Rik	antisense	NA	NA
1700031L13Rik	1700031L13Rik	protein_coding	NA	NA
1700031M16Rik	1700031M16Rik	transcribed_unitary_pseudogene	NA	NA
1700031P21Rik	1700031P21Rik	lincRNA	NA	NA
1700034B16Rik	1700034B16Rik	lincRNA	NA	NA
1700034E13Rik	1700034E13Rik	protein_coding	NA	NA
1700034G24Rik	1700034G24Rik	lincRNA	NA	NA
1700034H15Rik	1700034H15Rik	antisense	NA	NA
1700034H15Rik	1700034H15Rik	lncRNA	NA	NA
1700034I23Rik	1700034I23Rik	protein_coding	NA	NA
1700034I23Rik	1700034I23Rik	protein_coding	NA	NA
1700034J04Rik	1700034J04Rik	TEC	NA	NA
1700034J05Rik	1700034J05Rik	protein_coding	NA	NA
1700034K08Rik	1700034K08Rik	lincRNA	NA	NA
1700034P13Rik	1700034P13Rik	antisense	NA	NA
1700036A12Rik	1700036A12Rik	lincRNA	NA	NA
1700036G14Rik	1700036G14Rik	antisense	NA	NA
1700036O09Rik	1700036O09Rik	lincRNA	NA	NA
1700037C06Rik	1700037C06Rik	lincRNA	NA	NA
1700037C18Rik	1700037C18Rik	protein_coding	NA	NA
1700037F03Rik	1700037F03Rik	antisense	NA	NA
1700037H04Rik	1700037H04Rik	protein_coding	NA	NA
1700039E22Rik	1700039E22Rik	antisense	NA	NA
1700039I01Rik	1700039I01Rik	TEC	NA	NA
1700039M10Rik	1700039M10Rik	bidirectional_promoter_lncRNA	NA	NA
1700039M15Rik	1700039M15Rik	lincRNA	NA	NA
1700040D17Rik	1700040D17Rik	lincRNA	NA	NA
1700040E09Rik	1700040E09Rik	lincRNA	NA	NA
1700040F15Rik	1700040F15Rik	protein_coding	NA	NA
1700040F17Rik	1700040F17Rik	antisense	NA	NA
1700040K01Rik	1700040K01Rik	TEC	NA	NA
1700040L08Rik	1700040L08Rik	antisense	NA	NA
1700041B01Rik	1700041B01Rik	antisense	NA	NA
1700041C23Rik	1700041C23Rik	lincRNA	NA	NA
1700041G16Rik	1700041G16Rik	lincRNA	NA	NA
1700041I07Rik	1700041I07Rik	lincRNA	NA	NA
1700041M05Rik	1700041M05Rik	lincRNA	NA	NA
1700041M19Rik	1700041M19Rik	lincRNA	NA	NA
1700042D02Rik	1700042D02Rik	lincRNA	NA	NA
1700042G07Rik	1700042G07Rik	protein_coding	NA	NA
1700042G15Rik	1700042G15Rik	lincRNA	NA	NA
1700042O05Rik	1700042O05Rik	lincRNA	NA	NA
1700042O10Rik	1700042O10Rik	antisense	NA	NA
1700044C05Rik	1700044C05Rik	lincRNA	NA	NA
1700044K03Rik	1700044K03Rik	lincRNA	NA	NA
1700045H11Rik	1700045H11Rik	antisense	NA	NA
1700045I11Rik	1700045I11Rik	TEC	NA	NA
1700046C09Rik	1700046C09Rik	lincRNA	NA	NA
1700047A11Rik	1700047A11Rik	antisense	NA	NA
1700047E10Rik	1700047E10Rik	antisense	NA	NA
1700047F07Rik	1700047F07Rik	lincRNA	NA	NA
1700047G03Rik	1700047G03Rik	lincRNA	NA	NA
1700047G07Rik	1700047G07Rik	lincRNA	NA	NA
1700047K16Rik	1700047K16Rik	processed_transcript	NA	NA
1700047L14Rik	1700047L14Rik	antisense	NA	NA
1700047M11Rik	1700047M11Rik	lincRNA	NA	NA
1700047N06Rik	1700047N06Rik	TEC	NA	NA
1700047O18Rik	1700047O18Rik	TEC	NA	NA
1700048F04Rik	1700048F04Rik	lincRNA	NA	NA
1700048M11Rik	1700048M11Rik	antisense	NA	NA
1700048O14Rik	1700048O14Rik	processed_transcript	NA	NA
1700048O20Rik	1700048O20Rik	lincRNA	NA	NA
1700048P04Rik	1700048P04Rik	lincRNA	NA	NA
1700049E15Rik	1700049E15Rik	lincRNA	NA	NA
1700049E17Rik1	1700049E17Rik1	protein_coding	NA	NA
1700049E17Rik2	1700049E17Rik2	protein_coding	NA	NA
1700049E22Rik	1700049E22Rik	lincRNA	NA	NA
1700049L16Rik	1700049L16Rik	processed_pseudogene	NA	NA
1700051A21Rik	1700051A21Rik	processed_transcript	NA	NA
1700051K13Rik	1700051K13Rik	TEC	NA	NA
1700051O22Rik	1700051O22Rik	TEC	NA	NA
1700052H01Rik	1700052H01Rik	lincRNA	NA	NA
1700052I22Rik	1700052I22Rik	lincRNA	NA	NA
1700052K11Rik	1700052K11Rik	antisense	NA	NA
1700054A03Rik	1700054A03Rik	processed_transcript	NA	NA
1700054K02Rik	1700054K02Rik	antisense	NA	NA
1700054K19Rik	1700054K19Rik	lincRNA	NA	NA
1700054M17Rik	1700054M17Rik	antisense	NA	NA
1700054O05Rik	1700054O05Rik	lincRNA	NA	NA
1700054O19Rik	1700054O19Rik	TEC	NA	NA
1700055C04Rik	1700055C04Rik	processed_transcript	NA	NA
1700055D18Rik	1700055D18Rik	antisense	NA	NA
1700056E22Rik	1700056E22Rik	protein_coding	NA	NA
1700056N10Rik	1700056N10Rik	lincRNA	NA	NA
1700057G04Rik	1700057G04Rik	protein_coding	NA	NA
1700057H15Rik	1700057H15Rik	lincRNA	NA	NA
1700057H21Rik	1700057H21Rik	lincRNA	NA	NA
1700058P15Rik	1700058P15Rik	antisense	NA	NA
1700060C16Rik	1700060C16Rik	lincRNA	NA	NA
1700060C20Rik	1700060C20Rik	antisense	NA	NA
1700060J05Rik	1700060J05Rik	antisense	NA	NA
1700060O08Rik	1700060O08Rik	antisense	NA	NA
1700061A03Rik	1700061A03Rik	TEC	NA	NA
1700061E17Rik	1700061E17Rik	antisense	NA	NA
1700061E18Rik	1700061E18Rik	antisense	NA	NA
1700061F12Rik	1700061F12Rik	lincRNA	NA	NA
1700061H18Rik	1700061H18Rik	antisense	NA	NA
1700061I17Rik	1700061I17Rik	lincRNA	NA	NA
1700061J23Rik	1700061J23Rik	lincRNA	NA	NA
1700061N14Rik	1700061N14Rik	lincRNA	NA	NA
1700062C10Rik	1700062C10Rik	lincRNA	NA	NA
1700063A18Rik	1700063A18Rik	lincRNA	NA	NA
1700063D05Rik	1700063D05Rik	lincRNA	NA	NA
1700063H04Rik	1700063H04Rik	lincRNA	NA	NA
1700063H06Rik	1700063H06Rik	lincRNA	NA	NA
1700063I16Rik	1700063I16Rik	TEC	NA	NA
1700063J08Rik	1700063J08Rik	bidirectional_promoter_lncRNA	NA	NA
1700063K16Rik	1700063K16Rik	transcribed_processed_pseudogene	NA	NA
1700063O14Rik	1700063O14Rik	lincRNA	NA	NA
1700064H15Rik	1700064H15Rik	protein_coding	NA	NA
1700064J06Rik	1700064J06Rik	lincRNA	NA	NA
1700064M15Rik	1700064M15Rik	lincRNA	NA	NA
1700065D16Rik	1700065D16Rik	antisense	NA	NA
1700065I16Rik	1700065I16Rik	transcribed_unprocessed_pseudogene	NA	NA
1700065J11Rik	1700065J11Rik	lincRNA	NA	NA
1700065J18Rik	1700065J18Rik	lincRNA	NA	NA
